1
10 0xdddddd 1 096 061
101 071 0xFFFFFF 096 066 0xFFFFFF
096 066 0xFFFFFF 096 063 0xFFFFFF
096 063 0xFFFFFF 098 061 0xFFFFFF
098 061 0xFFFFFF 114 061 0xFFFFFF
114 061 0xFFFFFF 114 062 0xFFFFFF
114 062 0xFFFFFF 115 062 0xFFFFFF
115 062 0xFFFFFF 115 070 0xFFFFFF
115 070 0xFFFFFF 104 070 0xFFFFFF
104 070 0xFFFFFF 104 071 0xFFFFFF
104 071 0xFFFFFF 101 071 0xFFFFFF
