1
12 0xdddddd 1 108 198
112 208 0xFFFFFF 108 208 0xFFFFFF
108 208 0xFFFFFF 108 203 0xFFFFFF
108 203 0xFFFFFF 113 203 0xFFFFFF
113 203 0xFFFFFF 113 198 0xFFFFFF
113 198 0xFFFFFF 126 198 0xFFFFFF
126 198 0xFFFFFF 126 201 0xFFFFFF
126 201 0xFFFFFF 134 201 0xFFFFFF
134 201 0xFFFFFF 134 209 0xFFFFFF
134 209 0xFFFFFF 128 209 0xFFFFFF
128 209 0xFFFFFF 128 212 0xFFFFFF
128 212 0xFFFFFF 112 212 0xFFFFFF
112 212 0xFFFFFF 112 208 0xFFFFFF
