1
12 0xdddddd 1 145 163
149 178 0xFFFFFF 145 178 0xFFFFFF
145 178 0xFFFFFF 145 165 0xFFFFFF
145 165 0xFFFFFF 162 165 0xFFFFFF
162 165 0xFFFFFF 162 163 0xFFFFFF
162 163 0xFFFFFF 167 163 0xFFFFFF
167 163 0xFFFFFF 167 169 0xFFFFFF
167 169 0xFFFFFF 168 169 0xFFFFFF
168 169 0xFFFFFF 168 178 0xFFFFFF
168 178 0xFFFFFF 160 178 0xFFFFFF
160 178 0xFFFFFF 160 172 0xFFFFFF
160 172 0xFFFFFF 149 172 0xFFFFFF
149 172 0xFFFFFF 149 178 0xFFFFFF
